,date,reserve0,reserve1
259,1617393600,4229.641028455,1940239.699371951679300525
260,1617397200,4194.060602381,1977800.699148916044467262
261,1617400800,4522.967046522,1868892.098375120935717141
262,1617404400,4504.316008426,1876688.043442007155529731
263,1617408000,4543.616415661,1868759.94410173057316034
264,1617411600,4494.770803608,1889132.150634417704611144
265,1617415200,4453.540908041,1906904.661005794726212542
266,1617418800,4328.447793992,1962215.555790071404429067
267,1617422400,4291.508997711,1979180.569072699148229305
268,1617426000,4488.478992912,1893070.912013704103431609
269,1617429600,4703.680515965,1895504.615540773347051612
270,1617433200,4742.846797229,1880161.288222295728454799
271,1617436800,4649.062858661,1896394.588229599151599701
272,1617440400,4613.927023611,1911074.996020444594228817
273,1617444000,4629.820612583,1904686.801967753900435591
274,1617447600,4623.010352583,1907501.084140829761806052
275,1617451200,4642.793314625,1910770.464812459674646079
276,1617454800,4534.574406494,1956515.511189809854468391
277,1617458400,4507.402254894,1987153.546365420992155214
278,1617462000,4466.561400101,2019104.860997915714852018
279,1617465600,4477.233418889,2026333.271174967077060592
280,1617469200,4525.54883447,2004808.165177537174422562
281,1617472800,4504.10372854,2019375.653814978961892406
282,1617476400,4356.818662414,2094628.033578355099228605
283,1617480000,4346.611795694,2099908.705684430311500305
284,1617483600,4438.280045982,2056682.059129679786048699
285,1617487200,4488.595287101,2033717.006539742119244448
286,1617490800,4412.390024076,2099045.407337270462280876
287,1617494400,4396.675614103,2106592.599603170742774067
288,1617498000,4298.44721396,2154878.705192012465253449
289,1617501600,4132.32711433,2241986.060912692659397997
290,1617505200,4125.182433936,2241396.312292640450899628
291,1617508800,4152.108413065,2226999.131930635368566115
292,1617512400,4225.067825175,2245904.139356647677645441
293,1617516000,4115.565290221,2312010.73192875546232134
294,1617519600,4149.171589337,2293412.309865169193850702
295,1617523200,4035.545487545,2358404.855457593222294468
296,1617526800,4260.655473403,2238950.220850560647756252
297,1617530400,4236.253733811,2258376.789881529984282082
298,1617534000,4244.279405174,2254122.32739806108967225
299,1617537600,4239.374645362,2256740.125196987487717807
300,1617541200,4274.260147704,2223123.758388000579299796
301,1617544800,4190.033246864,2255649.100574668968113672
302,1617548400,4038.520041706,2279645.642133740576087367
303,1617552000,4294.25024618,2380641.704164892143435184
304,1617555600,4149.446097592,2567214.098072704375193463
305,1617559200,4154.031203339,2564672.371542209128792829
306,1617562800,4146.172520368,2675768.414468318237885263
307,1617566400,4143.019129644,2751080.252558942458663822
308,1617570000,3910.050319019,2971564.051027154759970433
309,1617573600,4079.302399657,2864003.928787673932854386
310,1617577200,4138.256201558,2918401.613668406801780901
311,1617580800,4206.891430977,2871139.852307057041990178
312,1617584400,4245.707934271,2882251.526907245398168429
313,1617588000,4239.966405951,2898316.056886717402741791
314,1617591600,4278.244836329,2875253.175080945143844877
315,1617595200,4121.496631339,2998689.701047688857739233
316,1617598800,4092.682758299,3091858.603716412227283008
317,1617602400,4289.801784192,2974806.806758552475676222
318,1617606000,4335.337343435,2943952.53791332085520691
319,1617609600,4396.028337574,2903895.454757829273099398
320,1617613200,4560.680982533,2802168.787043775879119495
321,1617616800,4433.968161424,2790045.06564452826271424
322,1617620400,4509.630523661,2743417.740627526748600952
323,1617624000,4604.111555344,2699082.020249392817475895
324,1617627600,4570.710169882,2707042.924300949171581064
325,1617631200,4499.814509719,2750025.079581201326357335
326,1617634800,4492.106355687,2757697.044557481332017669
327,1617638400,4847.811234338,2556368.356494883916043007
328,1617642000,4829.055940211,2473348.324922226749067341
329,1617645600,4806.107054227,2535302.681721897017226448
330,1617649200,4910.550931358,2417590.786749068725173305
331,1617652800,4901.522917235,2422060.756878624357492137
332,1617656400,4909.933407538,2429486.664251640216386266
333,1617660000,4872.124508616,2448396.984145354156492295
334,1617663600,4873.522801735,2447914.315194240415058923
335,1617667200,4878.822031875,2445419.619757093760980312
336,1617670800,4738.243567845,2518691.439965333931325901
337,1617674400,4678.845315949,2554003.560068718550771296
338,1617678000,4607.120622273,2596386.537177802813045813
339,1617681600,4681.314846767,2684247.173589974427503457
340,1617685200,4670.215061123,2690646.079399921184493279
341,1617688800,4653.801576034,2703018.41517249185296905
342,1617692400,4653.801576034,2703025.392502399326294992
343,1617696000,4656.866376034,2701251.79730629875040307
344,1617699600,4632.650953885,2715431.608849295007597194
345,1617703200,4782.552293279,2822451.979477124813540156
346,1617706800,4841.844306179,2788014.673884991291601845
347,1617710400,4911.747609044,2748613.116393184687151544
348,1617714000,5018.012500985,2690578.427693649271615926
349,1617717600,4936.357291025,2735411.689357568182896222
350,1617721200,4911.711603574,2749192.047054679122555742
351,1617724800,4972.75508376,2755845.148595764599727432
352,1617728400,4978.899441601,2752474.651483791761019337
353,1617732000,5001.594669812,2753086.976895061147990608
354,1617735600,5044.667996481,2729662.94877960150085406
355,1617739200,5048.122374734,2728249.932454403731287233
356,1617742800,5239.568084644,2626324.176635094801446625
357,1617746400,5330.185100946,2581836.71223900483705157
358,1617750000,5377.563648253,2559526.491348286231061565
359,1617753600,5376.307323951,2560133.773736558136924401
360,1617757200,5251.753694304,2621066.608357724863711835
361,1617760800,5015.341534652,2745390.098777210643621946
362,1617764400,4739.726890633,2913734.963090910683335641
363,1617768000,4704.967385463,2982362.97606752285219237
364,1617771600,4976.855934137,3000425.700303652671692714
365,1617775200,4805.918772072,3141982.954673894127976637
366,1617778800,4924.047174629,3067988.616853669652176797
367,1617782400,4981.542637488,3032400.841321025270897148
368,1617786000,4988.513852693,3025362.404299161465984777
369,1617789600,4968.419047451,3037647.679586763216590993
370,1617793200,5095.379418001,2950948.144239455838946041
371,1617796800,5095.415541306,2952351.836562655836225862
372,1617800400,5017.650282992,2998282.168693737059867977
373,1617804000,4990.103518485,3094423.344723291422314765
374,1617807600,5024.520861365,3073314.227398926432448267
375,1617811200,5092.162025696,3032623.707911524004041758
376,1617814800,5015.215473119,3079313.318634993625319035
377,1617818400,5178.084159902,2988006.586668465607404935
378,1617822000,5177.731199574,3010216.407584490595372359
379,1617825600,5099.878450873,3056308.05384954985088089
380,1617829200,5092.663163822,3062639.342186811054256717
381,1617832800,5230.232309281,2982518.113849057194022411
382,1617836400,4970.580127267,3138850.190838867489909723
383,1617840000,4868.164221907,3091674.178472471888454844
384,1617843600,5060.03003095,3021935.361562733175317353
385,1617847200,4908.707692308,3150894.11664819575656908
386,1617850800,4810.639569264,2940012.407689842482577821
387,1617854400,5097.266423554,3041106.513099651937258121
388,1617858000,5135.196728145,3035418.840877962447122573
389,1617861600,5068.964477605,3133760.796839318901110499
390,1617865200,5065.289315293,3136177.014355920928308015
391,1617868800,5063.009281138,3170643.433892238483942377
392,1617872400,4891.369593143,3319166.725476102508378837
393,1617876000,4933.520774303,3290916.873730999569832461
394,1617879600,5058.372650367,3210364.285524252103027215
395,1617883200,5039.268320207,3222778.342811438383754428
396,1617886800,5057.424492135,3211288.500162505025067111
397,1617890400,5076.216125279,3199708.912796883725079652
398,1617894000,5061.525179387,3209028.329605178114951266
399,1617897600,5104.064701356,3240434.567785799943663523
400,1617901200,5114.762233629,3233765.139047103281248349
401,1617904800,4667.074914349,3545191.984303403218367672
402,1617908400,4987.076173403,3359888.369158414289446332
403,1617912000,4949.984285426,3462326.740061337117888528
404,1617915600,5025.436907182,3440352.497752005121351669
405,1617919200,5243.412910799,3343488.117457655380241361
406,1617922800,5092.888001554,3467213.162375877292158998
407,1617926400,5066.320699067,3485449.695319341396370145
408,1617930000,4957.372698746,3562330.230704127439247405
409,1617933600,5173.57929946,3511868.226524382342464539
410,1617937200,5164.93867365,3556815.432727642962324957
411,1617940800,5248.281500298,3722359.273645066721389341
412,1617944400,5508.791328657,3753036.119387013005561112
413,1617948000,5513.745700045,3751874.631482786511294274
414,1617951600,5524.877857198,3744385.976260609295953137
415,1617955200,5518.053770705,3749165.199470091015058967
416,1617958800,5484.772317857,3782329.514357098739566917
417,1617962400,5516.311471592,3760817.551501023427252008
418,1617966000,5511.046531822,3770182.473181521632444548
419,1617969600,5509.401617089,3777575.656427887754762624
420,1617973200,5528.107735505,3786102.254598195186858597
421,1617976800,5440.904535609,3846967.048502275257458426
422,1617980400,5454.899809035,3876939.936222843477497142
423,1617984000,5537.162406493,3919381.750502065295637545
424,1617987600,5351.02965906,4371340.836215151791637883
425,1617991200,5598.038374001,4179293.148412660736285079
426,1617994800,5563.530137997,4205838.140690426339771624
427,1617998400,5588.91758578,4190139.89640832740158417
428,1618002000,5582.508913865,4195485.911771394675031589
429,1618005600,5582.182109264,4196057.718144872462235561
430,1618009200,5672.595972137,4129927.930361334176346762
431,1618012800,5551.061280171,4221657.921876063106323338
432,1618016400,5515.295346519,4216690.78818799606431003
433,1618020000,5468.378546892,4287783.23355061136618311
434,1618023600,5437.557781833,4389279.002799551219594565
435,1618027200,5432.695077811,4457403.355245448665563047
436,1618030800,5489.29007315,4411673.230478712272870285
437,1618034400,5440.24460946,4451646.194219211076456372
438,1618038000,5477.301678257,4427824.566583854140994944
439,1618041600,5541.013802892,4396220.704738671773659297
440,1618045200,5520.441951089,4393433.627671769164945121
441,1618048800,5473.49059611,4431233.984089565773253719
442,1618052400,5465.152717945,4438024.878682772718641783
443,1618056000,5499.275947024,4515722.405720063344405534
