,blockNumber,erc20CoinTotalSupply,globalDebt,marketPriceEth,marketPriceUsd,redemptionPrice,timestamp,redemptionPriceActual,redemptionRateActual
19,11865824,7056.799518562104,8004.909406251388,0.0023057405910641036,4.180668955311717,"{'block': '11865563', 'id': '0x8b7c0200846e77135821c9c7ddea581e635f71d3d354703bf369efde7cc9a4d0-46', 'redemptionRate': '1', 'value': '3.14'}",1613452095,3.14,1.0
20,11866378,6254.514977346455,8004.909406251388,0.0038688163202160644,6.952472880468398,"{'block': '11866094', 'id': '0xd2f9e77653411b033438b53a6bfcf31170338c827a29d4943386ea32ab4a389e-261', 'redemptionRate': '1', 'value': '3.14'}",1613459278,3.14,1.0
21,11866683,6254.514977346455,8005.063097217344,0.0038716734826445137,6.961670157410733,"{'block': '11866661', 'id': '0xcbc1e9a060211cbfb48e0b3604c14b23f32fa100721c6243766ab06829c05d30-215', 'redemptionRate': '1', 'value': '3.14'}",1613463478,3.14,1.0
22,11867014,6254.514977346455,8005.063097217344,0.00396186284011276,7.139356075139995,"{'block': '11866918', 'id': '0xf1a189721fadbbe89ecca01245ad17656f8dcef9233718e5588431accef04b5a-166', 'redemptionRate': '1', 'value': '3.14'}",1613467676,3.14,1.0
23,11867211,6254.514977346455,8005.063097217344,0.00396186284011276,7.138834472759815,"{'block': '11867194', 'id': '0x66d71242be8fb7ee21e522db0b47cf86f954086707f4522f767fb7ac04a98fd0-189', 'redemptionRate': '1', 'value': '3.14'}",1613470255,3.14,1.0
24,11867503,6254.514977346455,8005.1152297769495,0.00396186284011276,7.082569060229576,"{'block': '11867462', 'id': '0x30379f10e432d01ab2d2ac7adc3bacec37ac09c5614c2f32890740be5a9b32d0-189', 'redemptionRate': '0.999999999992929182902275567', 'value': '3.139999931194869490038880363'}",1613474284,3.1399999311948696,0.9999999999929292
25,11867818,7054.514977346455,8805.005527286892,0.00447358709889887,8.05538191346715,"{'block': '11867725', 'id': '0xbe67a2c54c42403663e095f15eb8eff20a1c11225dfd6d1d35abf5e9563a5970-14', 'redemptionRate': '0.999999999992929182902275567', 'value': '3.139999847869393998439667968'}",1613478495,3.139999847869394,0.9999999999929292
26,11868157,7054.514977346455,8805.005527286892,0.0017024558721407798,3.0531843610972746,"{'block': '11868019', 'id': '0xe7bc69e47ed287b47bffd39acd53ec0e8995c58db39ec0907d540b07db4a9417-268', 'redemptionRate': '0.999999999992929182902275567', 'value': '3.139999771360046480202340569'}",1613482718,3.1399997713600465,0.9999999999929292
27,11868417,7054.514977346455,8805.005527286892,0.0017024558721407798,3.0264526670956706,"{'block': '11868287', 'id': '0x5eabad08fd7d458e2b0123b3c5c7bd31656eb40f9046fbffe55ab095b8784faf-296', 'redemptionRate': '0.999999999992929182902275567', 'value': '3.139999691409334481042171906'}",1613486217,3.1399996914093347,0.9999999999929292
28,11868704,7054.514977346455,8805.185498481325,0.0016091252315737188,2.881869349366026,"{'block': '11868556', 'id': '0xb8df2436e32ba8dda0a8df9d68f8e2287c9c12018c2085b45b08202b0fe240df-305', 'redemptionRate': '0.999999999991814833189655152', 'value': '3.139999604800875819324641634'}",1613489877,3.139999604800876,0.9999999999918149
